truck,car,motor,bus,train,build,sky,wall,vaget,bike,road,terrain,pole,bridge,person,traffic sign,side walk,traffic light,rider,lat,lng
0.001363754,1.91E-06,,,,0.218919754,0.219470978,,0.333292007,0.008708954,0.12213707,0.046361923,0.017023087,0.000375748,0.000137329,0.000343323,0.032810211,3.05E-05,,114.0111168,22.60648559
,0.059883118,,,,0.079374313,0.487838745,,0.16569519,7.44E-05,0.117452621,0.0801754,0.007394791,0.000152588,,0.000749588,0.001321793,0.000864029,,114.0426556,22.54232492
0.004177094,0.011587143,0.001195908,0.000331879,,0.079853058,0.51641655,1.72E-05,0.141529083,0.000711441,0.173364639,0.037094116,0.001848221,0.025079727,0.000999451,0.004032135,0.002672195,6.68E-05,,113.8642356,22.60765093
0.002019882,0.002059937,0.004053116,0.001003265,,0.118671417,0.466464996,0.000320435,0.158411026,0.006624222,0.156402588,0.005933762,0.021047592,0.010364532,0.008953094,0.003738403,0.031463623,9.35E-05,0.003351212,113.8739679,22.59783383
0.000623703,0.004869461,1.91E-06,7.63E-06,,0.086009979,0.318891525,0.000318527,0.376800537,3.81E-06,0.112453461,0.020677567,0.001455307,0.054199219,0.004573822,4.39E-05,0.020046234,,,114.1013913,22.65306469
0.000205994,1.34E-05,,8.01E-05,,0.166461945,0.186042786,0.012676239,0.444927216,0.001428604,0.088251114,0.000730515,0.0039711,0.051691055,7.82E-05,0.003034592,0.03991127,,0.001472473,113.9223912,22.49728616
0.000368118,0.01128006,0.000923157,0.038162231,,0.384716034,0.273183823,,0.026117325,0.014436722,0.184005737,0.000263214,0.016242981,0.014339447,0.011444092,0.006071091,0.014411926,0.00459671,0.000413895,114.1043439,22.55315398
0.00037384,0.058465958,9.92E-05,,,0.11946106,0.157773972,1.91E-06,0.502571106,4.96E-05,0.131540298,0.006498337,,0.022180557,5.72E-06,0.000253677,0.001701355,,,113.9499053,22.57352777
0.060556412,0.004919052,,3.81E-06,,0.455083847,0.153862,0.008899689,0.139347076,,0.143251419,7.25E-05,0.003313065,0.006902695,,0.000576019,0.024188995,,,114.0449007,22.53148596
,0.001722336,,,,0.003465652,0.44426918,,0.309350967,,0.146902084,0.076063156,0.000442505,0.000152588,,0.000104904,0.018503189,,,114.0447614,22.59401134
,7.63E-06,,,,0.050458908,0.000959396,0.001131058,0.738855362,7.63E-05,0.086824417,0.025444031,0.000484467,0.082920074,5.72E-06,4.01E-05,0.01376915,,,114.0234211,22.52408204
,0.006086349,0.004947662,,,0.207307816,0.376483917,,0.205179214,0.005403519,0.154598236,0.013122559,0.005556107,0.014326096,0.000688553,0.002573013,0.001321793,0.000360489,0.00302124,114.0306204,22.6589276
3.05E-05,0.007757187,,,,0.002765656,0.591358185,0.004329681,0.194507599,,0.162631989,0.013221741,0.006130219,0.008974075,0.000188828,0.000188828,0.008729935,1.72E-05,0.000144958,113.8601074,22.64180488
0.001710892,0.056268692,0.000268936,,1.91E-06,0.79883194,0.000745773,,0.005168915,0.001527786,0.011278152,,0.000240326,0.095697403,0.000205994,0.001831055,0.02715683,4.20E-05,,114.1186511,22.53948975
0.001409531,0.014177322,0.00019455,,,0.225919724,0.218671799,,0.279903412,0.006559372,0.147899628,0.001167297,0.00179863,0.069778442,0.001338959,0.000291824,0.031499863,0.000152588,0.000213623,114.0450268,22.52569871
